#body,head,ruleId,isAgg,isTx
pendingDebit,initialPending,0,false,false
touchedBid,bidBidder,1,false,false
withdrawBidAction,bidBidder,2,false,false
transferPunkAction,initialBalance,3,false,false
acceptBidAction,bidValue,4,false,false
offerPunkForSaleAction,touchedOffer,6,false,false
allInitialOwnersAssignedAction,allPunksAssigned,7,false,false
acceptBidAction,punkHasBid,8,false,false
transferPunkAction,punksOfferedForSale,9,false,false
allPunksAssigned,transferPunkAction,10,false,true
msgSender,transferPunkAction,10,false,true
punkIndexToAddress,transferPunkAction,10,false,true
buyPunkAction,initialBalance,11,false,false
acceptBidAction,punkIndexToAddress,12,false,false
transferPunkAction,offerSeller,13,false,false
punkHasBid,enterBidAction,14,false,true
punkIndexToAddress,enterBidAction,14,false,true
bidValue,enterBidAction,14,false,true
msgSender,enterBidAction,14,false,true
msgValue,enterBidAction,14,false,true
allPunksAssigned,enterBidAction,14,false,true
withdrawBidAction,send,15,false,false
totalTransferOut,balanceOf,16,false,false
totalClaimed,balanceOf,16,false,false
totalTransferIn,balanceOf,16,false,false
totalAcceptedIn,balanceOf,16,false,false
totalAcceptedOut,balanceOf,16,false,false
totalInitial,balanceOf,16,false,false
totalBoughtIn,balanceOf,16,false,false
totalSoldOut,balanceOf,16,false,false
acceptBidAction,totalAcceptedOut,17,true,false
transferPunkAction,totalTransferIn,18,true,false
withdrawBidAction,touchedBid,19,false,false
transferPunkAction,initialBalance,20,false,false
acceptBidAction,touchedOffer,21,false,false
touchedBid,bidValue,22,false,false
enterBidAction,bidBidder,23,false,false
transferPunkAction,punkIndexToAddress,24,false,false
initialBalance,totalInitial,25,true,false
initialPending,pendingWithdrawals,26,false,false
totalPendingDebit,pendingWithdrawals,26,false,false
totalPendingCredit,pendingWithdrawals,26,false,false
acceptBidAction,offerSeller,27,false,false
withdrawAction,pendingDebit,28,false,false
enterBidAction,bidValue,29,false,false
acceptBidAction,initialBalance,30,false,false
buyPunkAction,totalBoughtIn,31,true,false
enterBidAction,punkHasBid,32,false,false
allPunksAssigned,withdrawAction,33,false,true
pendingWithdrawals,withdrawAction,33,false,true
msgSender,withdrawAction,33,false,true
withdrawBidAction,punkHasBid,34,false,false
punkIndexToAddress,offerPunkForSaleAction,35,false,true
